timestamp,customer_dp_psi,system_output_pressure_psi,system_return_temp_f,system_supply_temp_f,total_system_cooling_tons,total_system_flow_gpm,plant_1_instantaneous_tons,plant_2_instantaneous_tons,plant_1_is_running,plant_2_is_running,plant_2_data_status,hour_timestamp,humidex_c,humidex_f,date,hour,day_of_week,is_weekend,temperature_delta_f,pressure_gap_psi,dp_margin_psi,dp_upset,dp_status,is_peak,dp_status_change,dp_status_group,hour_sin,hour_cos,flow_x_humidex,humidex_c_sq,peak_condition
2026-07-01 00:00:00,14.170058969460497,101.19999694824219,51.234520316677376,37.67253001538165,41163.37386676168,68149.2171880376,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,13.561990301295722,87.02993797878169,2.170058969460497,0,Normal (≥12 PSI),1,True,1,0.0,1.0,2485786.257231806,1330.472254319064,Non-Peak
2026-07-01 00:05:00,14.077165910889235,100.72316864013672,51.22827086731634,37.92726131741324,43455.54377055998,68283.36380730334,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,13.3010095499031,86.64600272924748,2.077165910889235,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2490679.3409147016,1330.472254319064,Non-Peak
2026-07-01 00:10:00,14.695343960736858,100.19999694824219,51.15884814864725,38.04999923706055,44286.58981819825,67040.20458357909,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,13.108848911586705,85.50465298750532,2.6953439607368583,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2445334.3136144155,1330.472254319064,Non-Peak
2026-07-01 00:15:00,14.65852526755677,100.19999694824219,50.4110910018195,38.30715037897462,43971.25136963255,67394.88137768718,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,12.103940622844881,85.54147168068542,2.6585252675567705,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2458271.376385368,1330.472254319064,Non-Peak
2026-07-01 00:20:00,14.459521434978154,100.19999694824219,50.08515696873015,38.43000030517578,43406.06800550416,67094.18325503498,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,11.655156663554372,85.74047551326403,2.4595214349781536,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2447303.220158396,1330.472254319064,Non-Peak
2026-07-01 00:25:00,13.500211946541812,98.00681744910428,49.890937833293634,37.96090885615202,42694.80668703249,65121.33706617244,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,11.930028977141617,84.50660550256246,1.5002119465418122,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2375342.3943960792,1330.472254319064,Non-Peak
2026-07-01 00:30:00,12.18721556028184,95.5999984741211,49.153186573668435,37.72619641415076,40965.37699376224,63906.03149057488,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,11.426990159517672,83.41278291383925,0.1872155602818406,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2331013.3467149874,1330.472254319064,Non-Peak
2026-07-01 00:35:00,13.098894680833634,96.21609243332676,49.12863384809435,37.71337553666223,39424.75221657034,66530.2799633314,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,11.415258311432126,83.11719775249313,1.0988946808336344,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2426734.4871521625,1330.472254319064,Non-Peak
2026-07-01 00:40:00,13.479225146647984,96.85385258877903,50.936051496588505,37.70055465917369,41433.74184149652,66390.98564939445,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,13.235496837414814,83.37462744213104,1.479225146647984,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2421653.63801578,1330.472254319064,Non-Peak
2026-07-01 00:45:00,12.896492799291003,96.8012202208331,51.189998626708984,37.687733781685154,42009.253188578055,66717.80650701976,0.0,0.0,0,0,Off or erroneous reading,2026-07-01 00:00:00,36.47563919,97.656150542,2026-07-01,0,Wednesday,0,13.50226484502383,83.9047274215421,0.8964927992910035,0,Normal (≥12 PSI),1,False,1,0.0,1.0,2433574.637698287,1330.472254319064,Non-Peak
